Notes,State,State Code,Year,Year Code,Sex,Sex Code,Race,Race Code,Count
,Alabama,1,1999,1999,Female,F,Asian or Pacific Islander,A-PI,45
,Alabama,1,1999,1999,Female,F,Black or African American,5/1/2054,2001
,Alabama,1,1999,1999,Female,F,White,3/1/2106,7717
,Alabama,1,1999,1999,Female,F,Other Races and Unknown combined,1/1/2131,115
,Alabama,1,1999,1999,Male,M,Asian or Pacific Islander,A-PI,31
,Alabama,1,1999,1999,Male,M,Black or African American,5/1/2054,2003
,Alabama,1,1999,1999,Male,M,White,3/1/2106,7834
,Alabama,1,1999,1999,Male,M,Other Races and Unknown combined,1/1/2131,112
,Alabama,1,2000,2000,Female,F,Asian or Pacific Islander,A-PI,30
,Alabama,1,2000,2000,Female,F,Black or African American,5/1/2054,1955
,Alabama,1,2000,2000,Female,F,White,3/1/2106,7946
,Alabama,1,2000,2000,Female,F,Other Races and Unknown combined,1/1/2131,126
,Alabama,1,2000,2000,Male,M,American Indian or Alaska Native,5/1/1002,18
,Alabama,1,2000,2000,Male,M,Asian or Pacific Islander,A-PI,22
,Alabama,1,2000,2000,Male,M,Black or African American,5/1/2054,2078
,Alabama,1,2000,2000,Male,M,White,3/1/2106,8114
,Alabama,1,2000,2000,Male,M,Other Races and Unknown combined,1/1/2131,150
,Alabama,1,2001,2001,Female,F,Asian or Pacific Islander,A-PI,53
,Alabama,1,2001,2001,Female,F,Black or African American,5/1/2054,2095
,Alabama,1,2001,2001,Female,F,White,3/1/2106,8426
,Alabama,1,2001,2001,Female,F,Other Races and Unknown combined,1/1/2131,28
,Alabama,1,2001,2001,Male,M,Asian or Pacific Islander,A-PI,39
,Alabama,1,2001,2001,Male,M,Black or African American,5/1/2054,2238
,Alabama,1,2001,2001,Male,M,White,3/1/2106,8786
,Alabama,1,2001,2001,Male,M,Other Races and Unknown combined,1/1/2131,37
,Alabama,1,2002,2002,Female,F,American Indian or Alaska Native,5/1/1002,18
,Alabama,1,2002,2002,Female,F,Asian or Pacific Islander,A-PI,53
,Alabama,1,2002,2002,Female,F,Black or African American,5/1/2054,2100
,Alabama,1,2002,2002,Female,F,White,3/1/2106,8647
,Alabama,1,2002,2002,Female,F,Other Races and Unknown combined,1/1/2131,26
,Alabama,1,2002,2002,Male,M,Asian or Pacific Islander,A-PI,30
,Alabama,1,2002,2002,Male,M,Black or African American,5/1/2054,2316
,Alabama,1,2002,2002,Male,M,White,3/1/2106,8877
,Alabama,1,2002,2002,Male,M,Other Races and Unknown combined,1/1/2131,26
,Alabama,1,2003,2003,Female,F,Asian or Pacific Islander,A-PI,50
,Alabama,1,2003,2003,Female,F,Black or African American,5/1/2054,2164
,Alabama,1,2003,2003,Female,F,White,3/1/2106,7970
,Alabama,1,2003,2003,Female,F,Other Races and Unknown combined,1/1/2131,42
,Alabama,1,2003,2003,Male,M,Asian or Pacific Islander,A-PI,35
,Alabama,1,2003,2003,Male,M,Black or African American,5/1/2054,2240
,Alabama,1,2003,2003,Male,M,White,3/1/2106,8848
,Alabama,1,2003,2003,Male,M,Other Races and Unknown combined,1/1/2131,87
,Alabama,1,2004,2004,Female,F,Asian or Pacific Islander,A-PI,46
,Alabama,1,2004,2004,Female,F,Black or African American,5/1/2054,2308
,Alabama,1,2004,2004,Female,F,White,3/1/2106,8519
,Alabama,1,2004,2004,Female,F,Other Races and Unknown combined,1/1/2131,26
,Alabama,1,2004,2004,Male,M,Asian or Pacific Islander,A-PI,30
,Alabama,1,2004,2004,Male,M,Black or African American,5/1/2054,2508
,Alabama,1,2004,2004,Male,M,White,3/1/2106,9405
,Alabama,1,2004,2004,Male,M,Other Races and Unknown combined,1/1/2131,60
,Alabama,1,2005,2005,Female,F,Asian or Pacific Islander,A-PI,65
,Alabama,1,2005,2005,Female,F,Black or African American,5/1/2054,2381
,Alabama,1,2005,2005,Female,F,White,3/1/2106,8642
,Alabama,1,2005,2005,Female,F,Other Races and Unknown combined,1/1/2131,56
,Alabama,1,2005,2005,Male,M,Asian or Pacific Islander,A-PI,45
,Alabama,1,2005,2005,Male,M,Black or African American,5/1/2054,2618
,Alabama,1,2005,2005,Male,M,White,3/1/2106,9396
,Alabama,1,2005,2005,Male,M,Other Races and Unknown combined,1/1/2131,89
,Alabama,1,2006,2006,Female,F,Asian or Pacific Islander,A-PI,63
,Alabama,1,2006,2006,Female,F,Black or African American,5/1/2054,2306
,Alabama,1,2006,2006,Female,F,White,3/1/2106,8855
,Alabama,1,2006,2006,Female,F,Other Races and Unknown combined,1/1/2131,56
,Alabama,1,2006,2006,Male,M,American Indian or Alaska Native,5/1/1002,20
,Alabama,1,2006,2006,Male,M,Asian or Pacific Islander,A-PI,34
,Alabama,1,2006,2006,Male,M,Black or African American,5/1/2054,2631
,Alabama,1,2006,2006,Male,M,White,3/1/2106,10002
,Alabama,1,2006,2006,Male,M,Other Races and Unknown combined,1/1/2131,73
,Alabama,1,2007,2007,Female,F,Asian or Pacific Islander,A-PI,60
,Alabama,1,2007,2007,Female,F,Black or African American,5/1/2054,2492
,Alabama,1,2007,2007,Female,F,White,3/1/2106,9196
,Alabama,1,2007,2007,Female,F,Other Races and Unknown combined,1/1/2131,74
,Alabama,1,2007,2007,Male,M,Asian or Pacific Islander,A-PI,28
